Channel_ID,Phase_Rad,Voltage_V,DAC_Value_16bit
0,4.398784139839428,3.6404588451383155,29822
1,4.683245213651502,3.8758804524132993,31750
2,5.5360039808986325,4.581628472389426,37532
3,5.264674373862283,4.357074541920939,35692
4,5.330992293680239,4.411959630644858,36142
5,5.267839087052848,4.359693676609222,35714
6,5.021216386670459,4.155587323017673,34042
7,4.831319539117671,3.998427608796582,32754
8,5.3955016352467,4.465347929691568,36579
9,5.154265927773838,4.26569988215977,34944
10,5.283019529059913,4.372257097004692,35816
11,5.399873221489397,4.468965879401892,36609
12,5.287815479224664,4.376226252717513,35849
13,5.2043207315284965,4.307125523263623,35283
14,5.066418845620981,4.192997135883469,34348
15,4.9360300487344775,4.08508662383235,33464
16,4.6708101621565525,3.865589132865577,31666
17,4.068538974529415,3.3671460625836134,27583
18,3.525914811794687,2.918067210333882,23904
19,4.06615631535847,3.3651741602628666,27567
20,3.8353615063769486,3.1741670598782,26002
21,3.854886087175847,3.1903257143170975,26134
22,3.8745880902895604,3.2066312044757663,26268
23,3.9421391729362036,3.262536865790763,26726
24,4.149978524185378,3.4345458984164208,28135
25,3.7570621437876675,3.1093660607736506,25471
26,3.7530841647466007,3.1060738626285618,25444
27,3.5537175363543265,2.9410769037683453,24092
28,3.4658268637748413,2.8683380818063244,23497
29,3.1843820036767942,2.6354127102057867,21588
30,3.050323350764407,2.5244650043745014,20680
31,3.109172387082697,2.5731688025110033,21079
32,3.1941302995552,2.643480455479794,21655
33,3.092386837401969,2.5592769858491504,20965
34,3.5810906037098302,2.9637310104498678,24278
35,4.049422927159665,3.3513255127409867,27453
36,3.6939876236973346,3.0571652281649184,25043
37,3.848228488170218,3.184815847404576,26089
38,3.9714839937994473,3.286822806922326,26925
39,4.000289231614461,3.3106621860453513,27120
40,3.998768776713637,3.3094038488966357,27110
41,4.050919513041464,3.3525640957534057,27463
42,4.445381451979041,3.679023046459755,30138
43,3.870325109265866,3.2031031370641814,26239
44,4.088296380661145,3.3834974045960164,27717
45,4.650271298973417,3.8485910525399394,31527
46,4.40237345442416,3.6434293823623696,29846
47,4.487861394232029,3.7141796889772256,30426
48,5.6341427578173855,4.662848683958609,38197
49,5.614320342390518,4.646443539882733,38063
50,5.566863474972253,4.607167965709711,37741
51,5.772253384725422,4.77714982658147,39133
52,6.070025970976567,5.023588117480932,41152
53,6.283185108783025,5.199999835805874,42597
54,5.9223037163996155,4.901332336973805,40151
55,6.010578083942387,4.974388707076069,40749
56,6.235018212773398,5.160136637920583,42271
57,6.151659276460385,5.0911483067420695,41706
58,5.728833710647427,4.741215456645318,38839
59,5.911808680412945,4.892646585326735,40079
60,5.791583195155152,4.793147287951857,39264
61,5.3108997766409285,4.395330948933843,36006
62,5.5227603863410755,4.570667997991096,37442
63,5.195627490457921,4.299930947366692,35224
64,6.026818970866797,4.987829757733994,40859
65,5.754726594436194,4.762644554963928,39014
66,6.191930191140312,5.12447674543961,41979
67,5.843342876609413,4.835983895564657,39615
68,5.9797516157945605,4.948876546200353,40540
69,5.850850583380529,4.842197316512976,39666
70,6.102625373183286,5.05056756869674,41373
71,5.919782562633314,4.899245815735957,40134
72,5.248644788917906,4.343808365986972,35583
73,6.240337005854608,5.164538501413401,42307
74,5.816115981433872,4.813450761813049,39431
75,5.95998312497364,4.9325160304359486,40406
76,6.025893782621301,4.987064066664676,40853
77,5.539591429040314,4.584597464934564,37556
78,5.650124587940873,4.676075337730411,38305
79,5.285364137794994,4.374197508567675,35832
80,5.141079602995126,4.254786804557085,34854
81,4.7646080557205925,3.9432168046096647,32302
82,4.983880212226642,4.124687692079523,33788
83,4.487035137471476,3.713495874169159,30420
84,4.809490870810015,3.980362078392742,32606
85,4.758726887496904,3.9383495162410984,32262
86,4.667409512074783,3.862774735460332,31643
87,4.623349279029572,3.8263102352691156,31344
88,4.293631381215464,3.5534338223016007,29109
89,4.893226215675459,4.04966192743631,33174
90,4.224971054592103,3.4966101443442583,28643
91,4.547300081849475,3.7633714858923257,30829
92,4.911132847626979,4.06448155818021,33295
93,4.981243281577822,4.122505353233302,33771
94,4.607234002656832,3.8129731406202456,31235
95,4.747489767227183,3.9290496114084688,32186
96,4.361494335401932,3.609597590281896,29569
97,4.6542150254856445,3.8518549030967826,31553
98,4.682389406981341,3.8751721819314864,31744
99,4.264033297186215,3.528938279129218,28908
100,4.219512411808095,3.49209254043969,28606
101,4.243455115302319,3.5119076584225546,28769
102,3.9044176094693497,3.2313182846988595,26470
103,3.7085527587617624,3.0692194170249025,25142
104,3.6023882638632756,2.9813570754763705,24422
105,3.4129013231544136,2.8245366024974543,23138
106,3.4306854879112767,2.8392548786924943,23258
107,3.60687204403365,2.985067877521204,24453
108,3.0309951943920543,2.5084689119114336,20549
109,3.890590848053618,3.2198751780822765,26376
110,0.29555136820136724,0.24459999817146613,2003
111,6.210190075517374e-07,5.13958872990587e-07,0
112,1.2006603148368105,0.9936733252188585,8140
113,0.8987099647744118,0.7437774931589121,6092
114,0.7855447846518527,0.6501213445864842,5325
115,1.4722097609200688,1.2184091957365453,9981
116,1.7089153992458974,1.414308132202391,11585
117,2.041540863016173,1.6895908633402135,13840
118,2.7747639479920636,2.296410470827823,18811
119,2.8355643590837327,2.346729237857567,19224
120,3.142635250593475,2.600862859227302,21305
121,3.4564669327423827,2.8605917494940867,23433
122,3.6705201255761355,3.0377433928593778,24884
123,3.3791736960021392,2.7966234258812204,22909
124,3.7602334861913076,3.1119906818364877,25493
125,4.087134140736731,3.382535528205065,27709
126,4.436532725558079,3.671699789999943,30078
127,4.31665811812867,3.57249088111727,29265
128,4.420995065136554,3.6588407336070636,29972
129,4.844353866454453,4.009214892449321,32842
130,4.615459406338789,3.819780531625776,31291
131,4.979777659619707,4.121292396140745,33761
132,4.797333182034452,3.970300305813683,32524
133,4.507536634233024,3.7304630298311503,30559
134,5.382901468537764,4.45491995985092,36494
135,5.314598368747258,4.398391924858098,36031
136,5.167444183297799,4.276606281601195,35033
137,5.319323791179638,4.402302711417314,36063
138,5.135335861536563,4.25003325136323,34815
139,5.110562595872481,4.229530755390999,34647
140,5.085795489887429,4.2090333572042695,34479
141,4.854434916039779,4.017558026589228,32911
142,5.281542851701213,4.371034990399549,35806
143,5.121996340936746,4.238993388025157,34725
144,4.6184781263650825,3.8222788415385502,31311
145,5.42978094706314,4.493717683682717,36811
146,4.21350941826744,3.4871244287439014,28566
